dp-1,dp-3,o-dp-5,n-dp-5,dp-10,dp-15,dp-20
0,0,0,0,0,0,0
15,-7,-60,-41,17,16,25
19,-6,-59,-32,17,24,69
14,-16,-61,-44,5,18,12
30,14,7,9,10,11,12
33,12,-56,-31,24,25,39
21,5,-61,-42,8,-1,3
5,0,11,7,8,3,3
13,-17,-57,-42,2,14,15
14,-11,-62,-45,8,11,23
24,-5,-59,-39,15,37,27
0,0,0,0,0,0,0
15,-7,5,6,20,31,42
36,11,21,23,43,57,64
9,-0,2,4,17,36,30
51,46,45,41,42,42,35
31,17,12,19,42,53,71
-9,-22,-19,-10,-10,-3,-3
2,-8,14,6,5,12,12
14,-9,12,5,18,22,24
2,4,-9,-4,13,23,32
21,3,0,-1,24,47,40
0,0,0,0,0,0,0
-2,-6,24,8,29,32,71
35,27,73,40,57,65,92
13,7,21,6,31,29,61
44,47,69,56,57,55,57
26,24,52,50,52,58,98
-34,-38,-26,-35,-27,-18,-11
4,-11,13,0,8,11,6
12,1,26,10,34,30,26
1,-3,10,-5,12,16,50
14,4,48,25,35,38,68
,0,0,0,0,0,0
,8,38,26,35,36,78
,,40,44,82,74,121
,19,50,36,33,32,76
,67,103,89,83,95,94
,42,39,54,61,59,162
,-38,-44,-43,-26,-26,-25
,-5,12,-1,9,5,7
,2,36,22,43,31,30
,3,46,22,19,21,60
,8,28,29,35,30,77